,house_type,house_size,location,price,numBathrooms,numBalconies,verificationDate,SecurityDeposit,Status
0,2BHKApartment,1180,Ulwe,19000,2,0,2 years,0,Furnished
1,2BHKApartment,1120,Ulwe,12500,2,0,2 years,0,Unfurnished
2,2BHKApartment,1200,Panvel,22000,2,0,a month,0,Unfurnished
3,2BHKApartment,750,Kandivali West,28500,2,0,3 years,0,Unfurnished
4,3BHKApartment,1400,Chembur,50000,3,0,3 years,0,Semi-Furnished
5,1RKStudioApartment,450,Badlapur East,3000,1,0,3 years,0,Unfurnished
6,1BHKApartment,700,Dombivali,9500,2,0,3 years,0,Unfurnished
7,1BHKApartment,600,Bandra West,55000,2,0,3 years,0,Furnished
8,1BHKApartment,600,Andheri East,50000,2,0,3 months,0,Furnished
9,2BHKApartment,1045,Bhayandar East,25000,1,0,a month,0,Semi-Furnished
10,4BHKApartment,1900,Goregaon West,175000,4,0,a month,0,Furnished
11,1BHKApartment,750,Colaba,100000,2,0,2 months,0,Furnished
12,2BHKApartment,1150,Kalamboli,20000,2,0,2 months,0,Unfurnished
13,3BHKApartment,1400,Ulwe,35000,3,0,2 months,0,Semi-Furnished
14,2BHKApartment,1246,Panvel,12000,3,0,2 months,0,Semi-Furnished
15,1BHKApartment,650,Palghar,4500,2,0,a month,0,Semi-Furnished
16,2BHKApartment,1000,Nerul,28000,2,0,a month,0,Unfurnished
17,3BHKApartment,1300,Kandivali East,77000,2,0,a month,0,Furnished
18,3BHKApartment,1050,Sion,175000,3,0,a month,0,Furnished
19,2BHKApartment,750,Andheri West,55000,2,0,a month,0,Unfurnished
20,4BHKApartment,1900,Juhu,360000,4,0,a month,0,Semi-Furnished
21,2BHKApartment,1360,Vasai,21500,2,0,a month,0,Semi-Furnished
22,1BHKApartment,710,Thakurli,13000,1,0,a month,0,Semi-Furnished
23,2BHKApartment,950,Powai,60000,2,0,a month,0,Furnished
24,3BHKApartment,1050,Andheri West,90000,3,0,a month,0,Semi-Furnished
25,3BHKApartment,2000,Jogeshwari East,145000,3,0,a month,0,Semi-Furnished
26,1BHKIndependentFloor,500,Mira Road East,7500,1,0,a month,0,Unfurnished
27,1BHKApartment,700,Thane West,18000,2,0,a month,0,Semi-Furnished
28,3BHKApartment,2175,Parel,230000,3,0,a month,0,Semi-Furnished
29,3BHKVilla,2800,Powai,145000,2,0,a month,0,Unfurnished
30,2BHKApartment,650,Prabhadevi,90000,2,0,a month,0,Semi-Furnished
31,2BHKApartment,750,Ghatkopar East,50000,3,0,a month,0,Semi-Furnished
32,1BHKApartment,670,Kalyan West,13000,2,0,a month,0,Semi-Furnished
33,1BHKApartment,275,Dadar East,18500,1,0,23 days,0,Unfurnished
34,2BHKApartment,1075,Chembur,68000,2,0,a month,0,Unfurnished
35,3BHKApartment,1000,vile parle west,125000,2,0,a month,0,Furnished
36,1BHKApartment,750,Bhandup West,24000,2,0,18 days,0,Unfurnished
37,3BHKApartment,1005,Borivali East,55000,3,0,a month,0,Semi-Furnished
38,1RKStudioApartment,380,Kandivali East,20000,1,0,a month,0,Semi-Furnished
39,2BHKApartment,850,Bandra West,65000,2,0,a month,0,Unfurnished
40,2BHKApartment,900,Andheri East,50000,2,0,11 days,0,Furnished
41,2BHKApartment,960,Badlapur East,9000,2,0,4 days,0,Semi-Furnished
42,1BHKApartment,596,Borivali East,26500,2,0,a day,0,Unfurnished
43,4BHKApartment,3600,Nerul,175000,2,0,a month,0,Semi-Furnished
44,3BHKApartment,2200,Mahalaxmi,280000,2,0,a month,0,Semi-Furnished
45,2BHKApartment,1075,Kanjurmarg,85000,2,0,a month,0,Furnished
46,3BHKApartment,1700,Seawoods,88000,3,0,a month,0,Semi-Furnished
47,1BHKApartment,650,Andheri West,52000,1,0,17 days,0,Furnished
48,1BHKApartment,550,Dombivali East,12000,1,0,18 days,0,Unfurnished
49,4BHKApartment,2100,Thane West,135000,3,0,a month,0,Unfurnished
50,1BHKApartment,715,Titwala,8500,1,0,2 months,0,Unfurnished
51,3BHKApartment,1568,Chembur,75000,2,0,18 days,0,Unfurnished
52,1BHKApartment,545,Vasai,9000,1,0,2 months,0,Semi-Furnished
53,1BHKApartment,685,Karanjade,7500,2,0,a month,0,Unfurnished
54,2BHKApartment,650,Thane West,33000,2,0,a month,0,Semi-Furnished
55,2BHKApartment,1208,Ulwe,16000,2,0,4 months,0,Semi-Furnished
56,1BHKApartment,550,Girgaon,60000,2,0,4 days,0,Semi-Furnished
57,1RKStudioApartment,350,Andheri East,27000,1,0,a month,0,Semi-Furnished
58,2BHKApartment,1000,Thane West,47000,2,0,a month,0,Semi-Furnished
59,2BHKApartment,875,Andheri East,64800,2,0,a month,0,Semi-Furnished
60,3BHKApartment,1100,Thane West,40000,3,0,a month,0,Semi-Furnished
61,2BHKApartment,900,Dombivali,15000,2,0,a month,0,Semi-Furnished
62,1BHKApartment,550,Malabar Hill,85000,1,0,4 months,0,Furnished
63,1BHKApartment,700,Thane West,21500,2,0,4 days,0,Furnished
64,2BHKApartment,810,Bandra West,110000,2,0,12 days,0,Semi-Furnished
65,2BHKApartment,1000,Chembur,75000,1,0,8 months,0,Unfurnished
66,2BHKApartment,500,Panvel,15000,1,0,a year,0,Unfurnished
67,4BHKApartment,3400,Dadar West,300000,5,0,a year,0,Semi-Furnished
68,2BHKApartment,1250,Andheri East,78000,2,0,a month,0,Unfurnished
69,2BHKApartment,800,Goregaon East,24000,2,0,13 days,0,Unfurnished
70,2BHKApartment,900,Mahim,80000,2,0,16 days,0,Furnished
71,2BHKApartment,1200,Andheri West,140000,2,0,a year,0,Furnished
72,1BHKApartment,550,Sanpada,25000,1,0,20 days,0,Unfurnished
73,2BHKApartment,1100,Andheri West,60000,2,0,a year,0,Unfurnished
74,3BHKApartment,1459,Goregaon East,95000,3,0,a month,0,Semi-Furnished
75,3BHKApartment,1350,Mulund West,75000,3,0,a month,0,Semi-Furnished
76,2BHKApartment,744,Thane West,37000,1,0,a year,0,Furnished
77,1BHKApartment,550,Powai,70000,2,0,a month,0,Furnished
78,1RKStudioApartment,400,Tardeo,32000,1,0,19 days,0,Semi-Furnished
79,3BHKApartment,1830,Kandivali East,80000,3,0,22 days,0,Semi-Furnished
80,1BHKApartment,645,Dombivali,9500,1,0,9 days,0,Unfurnished
81,2BHKApartment,800,Malad East,56000,2,0,2 months,0,Semi-Furnished
82,1BHKIndependentFloor,1500,Mulund West,15000,1,0,a month,0,Furnished
